Date,Time,Event
2026-07-11,18:57:04,Power Restored
2026-07-11,18:27:03,Power Lost
2026-07-11,01:38:08,Power Restored
2026-07-11,01:37:54,Power Lost
2026-07-10,13:16:21,Power Restored
2026-07-10,13:16:21,Power Lost
2026-07-10,06:44:14,Power Restored
2026-07-10,06:36:25,Power Lost
2026-07-10,01:35:31,Power Restored
2026-07-10,01:35:25,Power Lost
2026-07-09,14:18:07,Power Restored
2026-07-09,14:17:43,Power Lost
2026-07-09,10:48:35,Power Restored
2026-07-09,10:48:30,Power Lost
2026-07-09,07:48:08,Power Restored
2026-07-09,07:42:05,Power Lost
2026-07-09,06:45:05,Power Restored
2026-07-09,06:41:16,Power Lost
2026-07-08,16:04:09,Power Restored
2026-07-08,15:59:47,Power Lost
2026-07-08,12:38:15,Power Restored
2026-07-08,12:38:09,Power Lost
2026-07-08,11:52:54,Power Restored
2026-07-08,11:52:48,Power Lost
2026-07-08,00:24:12,Power Restored
2026-07-08,00:24:02,Power Lost
2026-07-07,21:46:09,Power Restored
2026-07-07,21:46:03,Power Lost
2026-07-07,17:52:26,Power Restored
2026-07-07,17:25:22,Power Lost
2026-07-07,16:58:10,Power Restored
2026-07-07,16:50:17,Power Lost
2026-07-07,15:42:50,Power Restored
2026-07-07,15:28:08,Power Lost
2026-07-07,10:35:45,Power Restored
2026-07-07,10:05:03,Power Lost
2026-07-07,8:26:30,Power Restored
2026-07-07,8:26:00,Power Lost
2026-07-07,4:33:46,Power Restored
2026-07-07,4:33:34,Power Lost
2026-07-07,3:42:27,Power Restored
2026-07-07,3:42:12,Power Lost
2026-07-06,15:30:36,Power Restored
2026-07-06,15:30:25,Power Lost
2026-07-06,13:24:25,Power Restored
2026-07-06,13:22:25,Power Lost
2026-07-06,12:52:03,Power Restored
2026-07-06,12:01:25,Power Lost
2026-07-06,07:38:25,Power Restored
2026-07-06,07:33:25,Power Lost
2026-07-06,04:30:47,Power Restored
2026-07-06,04:30:41,Power Lost
2026-07-05,21:05:22,Power Restored
2026-07-05,20:43:06,Power Lost
2026-07-05,20:41:49,Power Restored
2026-07-05,20:41:40,Power Lost
2026-07-05,20:37:33,Power Restored
2026-07-05,20:06:33,Power Lost
2026-07-05,19:43:21,Power Restored
2026-07-05,18:36:20,Power Lost
2026-07-05,11:41:11,Power Restored
2026-07-05,11:40:44,Power Lost
2026-07-05,10:19:01,Power Restored
2026-07-05,10:18:51,Power Lost
2026-07-04,15:52:23,Power Restored
2026-07-04,15:47:45,Power Lost
2026-07-04,06:49:11,Power Restored
2026-07-04,06:49:05,Power Lost
2026-07-04,06:03:19,Power Restored
2026-07-04,06:03:14,Power Lost
2026-07-03,22:08:00,Power Restored
2026-07-03,21:55:36,Power Lost
2026-07-03,13:16:54,Power Restored
2026-07-03,10:56:52,Power Restored
